"","TITULO_PROJETO","","UF_PROPONENTE","SITUACAO_REGISTRO","CNPJ_PROPONENTE","RAZAO_SOCIAL_PROPONENTE","LEI_8313","ART1","ART1A","ART3","ART3A","ART39","FUNCINES","TOTAL_CAPTADO"
"","ECOS DO TEATRO EXPERIMENTAL NEGRO","","SP","DEFERIDO","00.623.018/0001-40","","0","0","375000","0","0","0","0","375000"
"","","","SP","DEFERIDO","00.623.018/0001-40","","0","428628","0","0","0","0","0","428628"
"","","","SC","DEFERIDO","00.639.143/0001-48","FAGANELLO - COMUNICACOES EIRELI - ME","0","19807","0","0","0","0","0","19807"
"","CANHOTAS (EX CANHOTAS DE OURO)","","RJ","DEFERIDO","00.669.963/0001-82","","0","0","0","0","1050000","0","0","1050000"
"","Entre Fronteiras ","","RJ","DEFERIDO","00.669.963/0001-82","","0","0","0","0","0","1176958,77","0","1176958,77"
"","","","RJ","DEFERIDO","00.669.963/0001-82","","0","0","0","0","0","1805000","0","1805000"
"","","","RJ","DEFERIDO","00.669.963/0001-82","","0","0","0","0","0","1985500","0","1985500"
"","","","RJ","IRREGULAR","00.700.805/0001-48","LAGOA CULTURAL E ESPORTIVA LTDA","0","2509136","1490000","1798861,73","0","0","0","5797997,73"
"","","","RJ","IRREGULAR","00.700.805/0001-48","LAGOA CULTURAL E ESPORTIVA LTDA","0","0","0","190000","0","0","0","190000"
"","Veneno da Madrugada (O)","","RJ","IRREGULAR","00.700.805/0001-48","LAGOA CULTURAL E ESPORTIVA LTDA","1687500","2228200","0","1717201,82","0","0","0","5632901,82"
"","","","RJ","IRREGULAR","00.700.805/0001-48","LAGOA CULTURAL E ESPORTIVA LTDA","1934999,998","3000000","0","0","0","0","0","4934999,998"
"","","","RJ","IRREGULAR","00.721.736/0001-59","MAREDU MARKETING LTDA ME","0","0","50000","0","0","0","0","50000"
"","","","CE","IRREGULAR","00.733.392/0001-06","","0","0","353071,1","0","0","0","0","353071,1"
"","PROGRAMA CINE MAGAZINE","","MG","DEFERIDO","00.815.123/0001-80","","0","0","150000","0","0","0","0","150000"
"","","","MG","DEFERIDO","00.815.123/0001-80","","0","0","495000","0","0","0","0","495000"
"","CANO SERRADO (EX CANO CERRADO) ","","DF","DEFERIDO","00.817.115/0001-73","","0","0","0","0","1500000","0","1000000","2500000"
"","Federal (ex - DF)","","DF","DEFERIDO","00.817.115/0001-73","","840000","746400","160000","500000","0","0","1020000","3266400"
"","","","DF","DEFERIDO","00.817.115/0001-73","","170000","287993","0","0","0","0","0","457993"
"","","","RJ","DEFERIDO","00.962.888/0001-43","LUBA FILMES LTDA.","0","0","0","0","300000","0","0","300000"
"","DIVALDO FRANCO","","CE","DEFERIDO","00.975.333/0001-36","","0","0","2100000","131250","2368750","0","0","4600000"
"","","","CE","DEFERIDO","00.975.333/0001-36","","0","250000","742453,46","0","0","0","0","992453,46"
"","","","CE","DEFERIDO","00.975.333/0001-36","","0","350000","315000","1425746,31","0","0","0","2090746,31"
"","IREMOS A BEIRUTE","","CE","DEFERIDO","00.975.333/0001-36","","0","535792","0","0","0","0","0","535792"
"","","","RJ","IRREGULAR","00.989.739/0001-78","BIGDENI FILMES DO BRASIL LTDA","479999,9884","2398012","0","1304518","0","0","0","4182529,988"
"","Milagre em Juazeiro","","CE","DEFERIDO","00.993.636/0001-81","M MARGARITA HERNANDEZ PASCUAL","0","700000","0","0","0","0","0","700000"
